Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Verbrauch (g/km),Kilometerstand (km),Bemerkungen
citroen,Citroen C3,blau,04/2020,2020,15600,81,110,Schaltgetriebe,Benzin,"4,8 l/100 km",109 g/km,15000.0,Aircross Feel
citroen,Citroen C4 Cactus,blau,09/2020,2020,18690,96,131,Automatik,Benzin,"4,7 l/100 km",108 g/km,58824.0,Shine PureTech 130 EAT6 SHZ
citroen,Citroen C3,blau,04/2020,2020,15490,75,102,Schaltgetriebe,Diesel,"3,2 l/100 km",85 g/km,30799.0,1.5 BHDi 100 FAP Shine *Diesel*Kamera*DAB*
citroen,Citroen Berlingo,blau,11/2020,2020,24890,96,131,Automatik,Diesel,"4,2 l/100 km",111 g/km,20960.0,Shine M / 8-fach bereift / Automatik
citroen,Citroen C5 Aircross,blau,01/2020,2020,26890,132,179,Automatik,Diesel,"4,8 l/100 km",126 g/km,39960.0,FEEL HDI180 Automatik 360°Kamera Navigation LED
citroen,Citroen C4 Cactus,blau,12/2020,2020,14860,75,102,Schaltgetriebe,Diesel,"3,4 l/100 km",108 g/km,57090.0,1.5 BlueHDi 100 S&S PDC+SHZ+DAB+TEMP+ Klima/BC
citroen,Citroen C3 Aircross,blau,02/2020,2020,19980,88,120,Automatik,Diesel,"5,5 l/100 km",144 g/km,12653.0,BlueHDI 120 Stop & Start EAT6 SHINE
citroen,Citroen Berlingo,blau,01/2020,2020,25999,81,110,Schaltgetriebe,Benzin,"5,4 l/100 km",124 g/km,15800.0,PureTech 110 S&S SHINE Klimaaut./Panora
citroen,Citroen C5 Aircross,blau,04/2020,2020,27850,130,177,Automatik,Diesel,"4,9 l/100 km",126 g/km,30000.0,HDI 180 EAT8 SHINE AHK 8-fach Schiebedach
citroen,Citroen C3 Aircross,blau,12/2020,2020,21100,96,131,Automatik,Benzin,5 l/100 km,114 g/km,22500.0,Shine/Autom/Schiebedach/Navi/Alufelgen/Wi.räder
citroen,Citroen C3 Aircross,blau,09/2020,2020,20890,96,131,Automatik,Benzin,5 l/100 km,114 g/km,20800.0,1.2 PureTech Shine Navi
citroen,Citroen C5 Aircross,blau,09/2020,2020,24900,130,177,Automatik,Diesel,"4,9 l/100 km",126 g/km,61100.0,BlueHDI 180 EAT8 FEEL Glasdach NAVI
citroen,Citroen C5 Aircross,blau,09/2020,2020,24900,130,177,Automatik,Diesel,"4,9 l/100 km",126 g/km,61000.0,BlueHDI 180 EAT8 FEEL Glasdach NAVI
citroen,Citroen C5 Aircross,blau,09/2020,2020,26190,133,181,Automatik,Benzin,"5,6 l/100 km",128 g/km,26999.0,Feel PT 180 EAT8*Navi*Sitzheiz.*
citroen,Citroen Berlingo,blau,02/2020,2020,18990,96,131,Automatik,Diesel,"4,3 l/100 km",115 g/km,141300.0,1.5 Blue-HDi Feel M Aut.KAMERA-1.HAND-SHZ-SPUR-DAB
citroen,Citroen Berlingo,blau,04/2020,2020,26499,96,131,Automatik,Benzin,"5,6 l/100 km",127 g/km,33165.0,Feel M - sehr gute Ausstattung
citroen,Citroen C4 SpaceTourer,blau,09/2020,2020,23450,96,131,Automatik,Benzin,"4,8 l/100 km",110 g/km,52600.0,PureTech 130 EAT8 S&S SELECTION
citroen,Citroen DS,blau,01/2020,2020,36990,220,299,Automatik,Hybrid,0 l/100 km,0 g/km,51500.0,DS7 Crossback E-TENSE 4x4 BE CHIC
dacia,Dacia Sandero,beige,12/2020,2020,13600,74,101,Schaltgetriebe,Autogas (LPG),"4,8 l/100 km",- (g/km),27200.0,Sandero Stepway TCe 100 ECO-G Prestige
dacia,Dacia Duster,beige,01/2020,2020,17300,110,150,Schaltgetriebe,Benzin,"6,4 l/100 km",145 g/km,49000.0,TCe 150 4WD GPF Sondermodell Adventure
dacia,Dacia Duster,beige,06/2020,2020,16990,96,131,Schaltgetriebe,Benzin,"5,9 l/100 km",134 g/km,16150.0,II Prestige TCe 130 GPF
dacia,Dacia Lodgy,beige,01/2020,2020,18990,96,131,Schaltgetriebe,Benzin,"6,2 l/100 km",141 g/km,16302.0,Stepway Plus 7Sitz *SHZ*NAV*PDC*RKam*TEM*
dacia,Dacia Logan,beige,07/2020,2020,15490,66,90,Halbautomatik,Benzin,"5,7 l/100 km",130 g/km,5700.0,MCV TCe 90 Easy-R Stepway
dacia,Dacia Duster,beige,01/2020,2020,13980,85,116,Schaltgetriebe,Diesel,"4,7 l/100 km",123 g/km,39500.0,II 1.5 Blue dCi 6-Gang Prestige 4WD
dacia,Dacia Logan,beige,07/2020,2020,18940,66,90,Schaltgetriebe,Benzin,"5,5 l/100 km",126 g/km,68500.0,"MCV 0.9 TCe Stepway *Navi,Klima,PDC*"
dacia,Dacia Duster,blau,11/2020,2020,16890,74,101,Schaltgetriebe,Autogas (LPG),"5,5 l/100 km",126 g/km,82950.0,II Celebration TCe100 LPG
dacia,Dacia Sandero,blau,02/2020,2020,13500,66,90,Schaltgetriebe,Benzin,"5,3 l/100 km",120 g/km,37900.0,"TCe 90 Stepway a.in Blau,Bronze u.Grau"
dacia,Dacia Sandero,blau,02/2020,2020,14990,66,90,Schaltgetriebe,Benzin,"5,5 l/100 km",0 g/km,60524.0,II 0.9 TCe 90 Stepway Prestige Navi AAC  K
dacia,Dacia Sandero,blau,10/2020,2020,14450,74,101,Schaltgetriebe,Autogas (LPG),"5,3 l/100 km",121 g/km,30490.0,II Stepway Essential
dacia,Dacia Sandero,blau,01/2020,2020,11500,54,73,Schaltgetriebe,Benzin,"5,2 l/100 km",117 g/km,48485.0,/ NAVI / KLIMA / PDC
dacia,Dacia Duster,blau,07/2020,2020,18950,74,101,Schaltgetriebe,Autogas (LPG),"5,7 l/100 km",129 g/km,5200.0,TCe 100 ECO-G 2WD Celebration
dacia,Dacia Duster,blau,09/2020,2020,12980,74,101,Schaltgetriebe,Autogas (LPG),"5,5 l/100 km",126 g/km,48800.0,II 1.0 TCe 100 LPG Deal 2WD
dacia,Dacia Duster,blau,11/2020,2020,15900,85,116,Schaltgetriebe,Diesel,"4,5 l/100 km",- (g/km),60000.0,Duster Blue dCi 115 4WD Comfort
dacia,Dacia Duster,blau,05/2020,2020,19990,110,150,Schaltgetriebe,Benzin,,172 g/km,24150.0,TCe 150 4WD GPF Celebration
dacia,Dacia Sandero,blau,02/2020,2020,12295,66,90,Schaltgetriebe,Benzin,,- (g/km),97908.0,II Stepway Prestige TCe 90 ABS ESP SERVO
dacia,Dacia Sandero,blau,08/2020,2020,14999,66,90,Automatik,Benzin,"5,5 l/100 km",125 g/km,29000.0,II Stepway Celebration/Navi/Kamera/
dacia,Dacia Sandero,blau,12/2020,2020,10200,54,73,Schaltgetriebe,Benzin,"4,9 l/100 km",- (g/km),18688.0,Sandero SCe 75 Comfort
dacia,Dacia Duster,blau,01/2020,2020,17500,96,131,keine Angabe,Benzin,"5,9 l/100 km",134 g/km,23136.0,Anniversary II
dacia,Dacia Sandero,blau,03/2020,2020,10990,70,95,Schaltgetriebe,Diesel,"3,9 l/100 km",104 g/km,105100.0,II Stepway Prestige Sitzheizung/AHK/....
dacia,Dacia Sandero,blau,12/2020,2020,15990,74,101,Schaltgetriebe,Benzin,"5,1 l/100 km",135 g/km,19766.0,1.0 TCe Stepway Celebration *NAVI*CAM*
dacia,Dacia Lodgy,blau,06/2020,2020,16800,96,131,Schaltgetriebe,Benzin,,158 g/km,47333.0,"Stepway Plus++7-Sitzer,Navi++"
dacia,Dacia Duster,blau,03/2020,2020,16500,110,150,Schaltgetriebe,Benzin,"5,9 l/100 km",135 g/km,53000.0,TCe 150 2WD GPF Sondermodell Adventure
dacia,Dacia Duster,blau,08/2020,2020,17890,85,116,Schaltgetriebe,Diesel,,- (g/km),28300.0,II PRESTIGE 1.5Blue dCi 115 *+NAVI+AHK*
dacia,Dacia Duster,blau,04/2020,2020,18499,110,150,Schaltgetriebe,Benzin,"6,4 l/100 km",145 g/km,36000.0,Adventure 4WD II /HU NEU/1.Hand/360°Cam
dacia,Dacia Sandero,blau,12/2020,2020,11888,54,73,Schaltgetriebe,Benzin,,0 g/km,5814.0,"II Essential,Klimaanlage,Nur 5814 KM"
dacia,Dacia Dokker,blau,03/2020,2020,17300,96,131,Schaltgetriebe,Benzin,,- (g/km),35800.0,Comfort TCe 130 GPF KLIMA NAVIGATION
dacia,Dacia Sandero,blau,07/2020,2020,10999,66,90,Schaltgetriebe,Benzin,,0 g/km,82756.0,Stepway Celebration Navi Tempo SHZ PDC
dacia,Dacia Duster,blau,07/2020,2020,18200,110,150,Schaltgetriebe,Benzin,,153 g/km,31000.0,TCe 150 2WD GPF Celebration
dacia,Dacia Sandero,blau,11/2020,2020,15980,66,90,Automatik,Benzin,"5,5 l/100 km",125 g/km,29152.0,II- Stepway Prestige TCe 90
dacia,Dacia Logan,blau,09/2020,2020,14500,66,90,Automatik,Benzin,"5,5 l/100 km",125 g/km,7800.0,"MCV II Kombi Comfort Automatik,PDC,Temp"
dacia,Dacia Sandero,blau,08/2020,2020,13290,74,101,Schaltgetriebe,Benzin,,124 g/km,42400.0,"Stepway TCe 100 ECO-G Celebration, Sitzheizung,"
dacia,Dacia Logan,blau,04/2020,2020,10600,54,73,Schaltgetriebe,Benzin,"5,4 l/100 km",122 g/km,67945.0,MCV II Kombi Comfort*Klima*PDC*ESP*Neu Tüv
dacia,Dacia Duster,blau,12/2020,2020,15490,74,101,Schaltgetriebe,Autogas (LPG),"5,5 l/100 km",126 g/km,42028.0,II Deal 1.0 TCe 100 LPG EU6d Scheckheft DAB Bergan
dacia,Dacia Sandero,blau,04/2020,2020,13990,66,90,Schaltgetriebe,Benzin,"5,7 l/100 km",130 g/km,36103.0,0.9 Klima Servo PDC Navi AHK Tempomat
dacia,Dacia Duster,blau,07/2020,2020,17990,110,150,Schaltgetriebe,Benzin,"5,6 l/100 km",128 g/km,20500.0,TCe 150 2WD GPF Celebration
dacia,Dacia Duster,blau,10/2020,2020,18988,110,150,Schaltgetriebe,Benzin,"5,9 l/100 km",142 g/km,16000.0,II TCe 150 Celebration Nav PDC Kam KeyL
dacia,Dacia Duster,blau,03/2020,2020,15490,74,101,Schaltgetriebe,Benzin,"5,3 l/100 km",122 g/km,56000.0,II Comfort |AHK|SHZ|KLIMA|RFK|1.HAND|
dacia,Dacia Dokker,blau,07/2020,2020,16950,96,131,Schaltgetriebe,Benzin,,- (g/km),79563.0,Stepway*KLIMA*NAVI*TEMPOMAT*ALU*KAMERA*BC
dacia,Dacia Logan,blau,01/2020,2020,13500,66,90,Schaltgetriebe,Benzin,"5,5 l/100 km",116 g/km,38000.0,Logan MCV TCe 90 (S
dacia,Dacia Logan,blau,09/2020,2020,12900,54,73,Schaltgetriebe,Benzin,"4,9 l/100 km",112 g/km,12000.0,MCV SCe 75 Comfort mit DACIA GARANTIE
dacia,Dacia Duster,blau,10/2020,2020,15990,74,101,Schaltgetriebe,Autogas (LPG),,144 g/km,19500.0,LPG * AHK * KLIMA * TEMPOMAT * ALU
dacia,Dacia Sandero,blau,08/2020,2020,13480,74,101,Schaltgetriebe,Benzin,"5,1 l/100 km",115 g/km,36552.0,TCe 100 Comfort/1.Hd/Navi/Klimatr/S&S
dacia,Dacia Duster,blau,10/2020,2020,18988,110,150,Schaltgetriebe,Benzin,"5,9 l/100 km",142 g/km,16000.0,II TCe 150 Celebration Nav PDC Kam KeyL
dacia,Dacia Duster,blau,10/2020,2020,18988,110,150,Schaltgetriebe,Benzin,"5,9 l/100 km",142 g/km,16000.0,II TCe 150 Celebration Nav PDC Kam KeyL
dacia,Dacia Sandero,blau,04/2020,2020,14990,74,101,Schaltgetriebe,Benzin,,124 g/km,20600.0,Stepway TCe 100 ECO-G Essential
dacia,Dacia Duster,blau,03/2020,2020,12990,74,101,Schaltgetriebe,Benzin,"5,6 l/100 km",127 g/km,65000.0,Comfort II
dacia,Dacia Duster,blau,08/2020,2020,16990,74,101,Schaltgetriebe,Benzin,"5,2 l/100 km",120 g/km,26000.0,II TCe100 Comfort 2WD
dacia,Dacia Duster,blau,07/2020,2020,19990,110,150,Schaltgetriebe,Benzin,"6,1 l/100 km",140 g/km,54900.0,Celebration TCe 150 AHZV Allrad 8-fach
dacia,Dacia Sandero,blau,12/2020,2020,13950,74,101,Schaltgetriebe,Autogas (LPG),"5,1 l/100 km",116 g/km,12990.0,"Stepway II 1,0 TCe LPG DAB KLIMA"
dacia,Dacia Logan,blau,09/2020,2020,11990,70,95,Schaltgetriebe,Diesel,"3,8 l/100 km",- (g/km),111000.0,Logan MCV Blue dCi 95 Stepway
dacia,Dacia Duster,blau,06/2020,2020,17990,74,101,Schaltgetriebe,Benzin,"5,3 l/100 km",0 g/km,35479.0,II 1.0 TCe 100 Comfort Navi Klima Kamera
dacia,Dacia Duster,blau,08/2020,2020,15680,85,116,Schaltgetriebe,Diesel,"4,2 l/100 km",110 g/km,90000.0,Prestige II-NAVI-KAMERA-1.HAND-AHK
dacia,Dacia Duster,blau,10/2020,2020,18988,110,150,Schaltgetriebe,Benzin,"5,9 l/100 km",142 g/km,16000.0,II TCe 150 Celebration Nav PDC Kam KeyL
dacia,Dacia Sandero,blau,05/2020,2020,11990,70,95,Schaltgetriebe,Diesel,"3,8 l/100 km",99 g/km,91401.0,Stepway Blue dCi 95 Celebration 1.HAND NAVI KAMERA
dacia,Dacia Lodgy,blau,11/2020,2020,18990,85,116,Schaltgetriebe,Diesel,"4,4 l/100 km",0 g/km,36577.0,1.5 BLUE dCi 115 Stepway 7-Sitze PDC Tempoma
dacia,Dacia Duster,blau,08/2020,2020,18188,96,131,Schaltgetriebe,Benzin,,0 g/km,37000.0,Celebration TCe 130 2WD  Kamera+AHK+NAVI
dacia,Dacia Duster,blau,08/2020,2020,17988,96,131,Schaltgetriebe,Benzin,,0 g/km,37000.0,Celebration TCe 130 2WD  Kamera+AHK+NAVI
dacia,Dacia Sandero,blau,12/2020,2020,14990,66,90,Automatik,Benzin,"5,7 l/100 km",116 g/km,8750.0,Stepway TCe 90 Easy-R Celebration
dacia,Dacia Sandero,blau,04/2020,2020,15190,66,90,Schaltgetriebe,Benzin,,143 g/km,6980.0,Stepway TCe 90 (S&S) Prestige
dacia,Dacia Sandero,blau,04/2020,2020,14990,66,90,Schaltgetriebe,Benzin,,143 g/km,6980.0,Stepway TCe 90 (S&S) Prestige
dacia,Dacia Duster,blau,11/2020,2020,17980,96,131,Schaltgetriebe,Benzin,"6,1 l/100 km",140 g/km,21190.0,II Prestige Tce130*NW- GARANTIE*4xCAM*ALLWETTER
dacia,Dacia Sandero,blau,09/2020,2020,15490,66,90,Automatik,Benzin,"5,7 l/100 km",116 g/km,21000.0,Stepway TCe 90 Easy-R Prestige
dacia,Dacia Duster,blau,10/2020,2020,18988,110,150,Schaltgetriebe,Benzin,"5,9 l/100 km",142 g/km,16000.0,II TCe 150 Celebration Nav PDC Kam KeyL
dacia,Dacia Sandero,blau,11/2020,2020,15990,66,90,Automatik,Benzin,"5,5 l/100 km",125 g/km,14000.0,II 0.9 TCe 90 Stepway Prestige*ALLW*KAME
dacia,Dacia Dokker,blau,01/2020,2020,19990,96,131,Schaltgetriebe,Benzin,6 l/100 km,138 g/km,34000.0,TCe 131 Stepway Plus NAVI KAMERA SZH TOP
dacia,Dacia Duster,blau,07/2020,2020,16900,110,150,Schaltgetriebe,Benzin,"5,6 l/100 km",128 g/km,15100.0,TCe 150 2WD GPF Celebration
dacia,Dacia Sandero,blau,07/2020,2020,13490,74,101,Schaltgetriebe,Autogas (LPG),"5,3 l/100 km",121 g/km,24975.0,II Stepway Prestige Kamera Navi PDC LPG
dacia,Dacia Duster,blau,04/2020,2020,17595,110,150,Schaltgetriebe,Benzin,6 l/100 km,148 g/km,29906.0,Adventure 1.3 TCE Leder*Navi*SHZ*Tempomat!
dacia,Dacia Lodgy,blau,12/2020,2020,13900,75,102,Schaltgetriebe,Benzin,6 l/100 km,138 g/km,15200.0,Comfort TCe 100 Comfort *1.HAND* *KLIMA*
dacia,Dacia Duster,blau,10/2020,2020,13990,74,101,Schaltgetriebe,Autogas (LPG),"5,7 l/100 km",- (g/km),19200.0,Duster TCe 100 ECO-G 2WD Deal mit LPG -GAS
dacia,Dacia Sandero,blau,04/2020,2020,13800,70,95,Schaltgetriebe,Diesel,"4,4 l/100 km",- (g/km),16000.0,"Stepway Blue dCi 95 Prestige / Navi, Cam, Klima"
dacia,Dacia Duster,blau,01/2020,2020,19790,74,101,Schaltgetriebe,Benzin,,148 g/km,6280.0,Erstbesitz- 6280 Km   !!!!!!!!!!!!
dacia,Dacia Sandero,braun,09/2020,2020,14000,66,90,Halbautomatik,Benzin,"5,5 l/100 km",125 g/km,21153.0,Stepway Celebration II plus
dacia,Dacia Duster,braun,03/2020,2020,19990,110,150,Schaltgetriebe,Benzin,"6,4 l/100 km",145 g/km,24200.0,TCe 150 4WD GPF Sondermodell Adventure
dacia,Dacia Duster,braun,11/2020,2020,17990,74,101,Schaltgetriebe,Autogas (LPG),"5,5 l/100 km",126 g/km,38350.0,Prestige TCe 100 LPG AHK Lager
dacia,Dacia Logan,braun,09/2020,2020,15222,66,90,Automatik,Benzin,"5,5 l/100 km",125 g/km,40546.0,MCV Stepway 0.9 TCe 90 Easy-R Navigation
dacia,Dacia Sandero,braun,04/2020,2020,11990,66,90,Schaltgetriebe,Benzin,"5,3 l/100 km",120 g/km,51000.0,II 0.9 TCe 90 Klima Plug & Radio DAB+ Comfort
dacia,Dacia Sandero,braun,02/2020,2020,13490,66,90,Schaltgetriebe,Benzin,"5,3 l/100 km",120 g/km,41000.0,"TCe 90 Stepway a.in Blau,Bronze u.Grau"
dacia,Dacia Sandero,gelb,04/2020,2020,12960,66,90,Schaltgetriebe,Benzin,"5,5 l/100 km",141 g/km,43761.0,0.9 TCe Stepway Prestige*NAVI*CAM*PDC*
dacia,Dacia Logan,grau,07/2020,2020,10900,66,90,Schaltgetriebe,Benzin,"5,5 l/100 km",135 g/km,75200.0,MCV TCe 90 S&S
dacia,Dacia Duster,grau,04/2020,2020,22999,110,150,Schaltgetriebe,Benzin,"6,4 l/100 km",145 g/km,29000.0,II Adventure 4WD / AHK
dacia,Dacia Sandero,grau,02/2020,2020,12490,66,90,Schaltgetriebe,Benzin,- (l/100 km),- (g/km),23800.0,Anniversary TCe 90 +Klima+Navi+Rückfahrkamera+PDC
dacia,Dacia Duster,grau,09/2020,2020,17899,74,101,Schaltgetriebe,Autogas (LPG),"5,5 l/100 km",126 g/km,17000.0,II Deal EURO6*1HAND*TEMPO*START/STOPP*LPG
dacia,Dacia Duster,grau,12/2020,2020,17899,74,101,Schaltgetriebe,Benzin,"5,5 l/100 km",126 g/km,17000.0,II Deal EURO6*1HAND*TEMPO*START/STOPP*LPG
dacia,Dacia Duster,grau,03/2020,2020,18990,85,116,Schaltgetriebe,Diesel,"4,2 l/100 km",112 g/km,47300.0,II Prestige 1 Hand. RFK. Klimaaut. Navi.
dacia,Dacia Lodgy,grau,08/2020,2020,16390,75,102,Schaltgetriebe,Benzin,6 l/100 km,154 g/km,13800.0,TCe 100 GPF Comfort
dacia,Dacia Sandero,grau,08/2020,2020,13990,66,90,Schaltgetriebe,Benzin,"5,7 l/100 km",128 g/km,32951.0,Stepway Prestige II  Navi Kamera DAB-Radio 1.Hd.
dacia,Dacia Duster,grau,01/2020,2020,18990,110,150,Schaltgetriebe,Benzin,"6,4 l/100 km",145 g/km,60658.0,II Adventure TCe 150 4x4 NAVI Kamera AHK
dacia,Dacia Duster,grau,06/2020,2020,19650,110,150,Schaltgetriebe,Benzin,"5,9 l/100 km",149 g/km,23674.0,1.3 TCe Celebration*NAVI*PDC*CAM*SHZ*ALU*
dacia,Dacia Sandero,grau,04/2020,2020,11990,74,101,Schaltgetriebe,Autogas (LPG),"5,3 l/100 km",121 g/km,50183.0,II 1.0 TCE Comfort mit LPG + AHK
dacia,Dacia Sandero,grau,10/2020,2020,16490,67,91,Automatik,Benzin,5 l/100 km,114 g/km,18757.0,Comfort III
dacia,Dacia Duster,grau,02/2020,2020,16490,85,116,Schaltgetriebe,Diesel,"4,2 l/100 km",131 g/km,111170.0,1.5 Blue dCi Prestige *NAVI*CAM*SHZ*ALU*
dacia,Dacia Duster,grau,12/2020,2020,19895,85,116,Schaltgetriebe,Diesel,"4,2 l/100 km",110 g/km,14800.0,Duster Blue dCi 115 2WD Prestige
dacia,Dacia Dokker,grau,02/2020,2020,9500,70,95,Schaltgetriebe,Diesel,"4,2 l/100 km",111 g/km,237420.0,Express Comfort/1Hd./Scheckheftgepflegt
dacia,Dacia Duster,grau,10/2020,2020,17000,74,101,Schaltgetriebe,Benzin,"5,7 l/100 km",129 g/km,47000.0,TCe 100 ECO-G 2WD Celebration
dacia,Dacia Dokker,grau,03/2020,2020,17950,70,95,Schaltgetriebe,Diesel,"4,3 l/100 km",113 g/km,58500.0,Dokker Blue dCi *1.HAND*NAVI*KAMERA*AHK*PDC*
dacia,Dacia Sandero,grau,03/2020,2020,13400,66,90,Schaltgetriebe,Benzin,"5,3 l/100 km",120 g/km,36000.0,"TCe 90 Stepway a.in Blau,Bronze u.Grau"
dacia,Dacia Sandero,grau,03/2020,2020,13450,66,90,Schaltgetriebe,Benzin,"5,3 l/100 km",120 g/km,37300.0,"TCe 90 Stepway a.in Blau,Bronze u.Grau"
dacia,Dacia Sandero,grau,02/2020,2020,13990,66,90,Schaltgetriebe,Benzin,"5,3 l/100 km",120 g/km,26600.0,"TCe 90 Stepway a.in Blau,Bronze u.Grau"
dacia,Dacia Sandero,grau,03/2020,2020,12900,70,95,Schaltgetriebe,Diesel,"3,9 l/100 km",104 g/km,58890.0,II Stepway Prestige
dacia,Dacia Sandero,grau,06/2020,2020,12667,54,73,Schaltgetriebe,Benzin,"6,4 l/100 km",144 g/km,29715.0,SCe 75 STEPWAY KLIMA*RADIO*BC*BTH*MFL
dacia,Dacia Sandero,grau,03/2020,2020,13400,66,90,Schaltgetriebe,Benzin,"5,3 l/100 km",120 g/km,30600.0,"TCe 90 Stepway a.in Blau,Bronze u.Grau"
dacia,Dacia Sandero,grau,03/2020,2020,12990,66,90,Schaltgetriebe,Benzin,"5,3 l/100 km",120 g/km,44500.0,"TCe 90 Stepway a.in Blau,Bronze u.Grau"
dacia,Dacia Sandero,grau,03/2020,2020,13600,66,90,Schaltgetriebe,Benzin,"5,3 l/100 km",120 g/km,39700.0,"TCe 90 Stepway a.in Blau,Bronze u.Grau"
dacia,Dacia Logan,grau,09/2020,2020,15900,66,90,Schaltgetriebe,Benzin,"5,5 l/100 km",0 g/km,41234.0,II 0.9 TCe Stepway Navi Klimaaut.PDC
dacia,Dacia Sandero,grau,07/2020,2020,12990,74,101,Schaltgetriebe,Autogas (LPG),"5,3 l/100 km",121 g/km,76292.0,LPG Stepway Prestige |Navi|Tempomat|PDC
dacia,Dacia Lodgy,grau,11/2020,2020,15990,85,116,Schaltgetriebe,Diesel,"4,2 l/100 km",110 g/km,30000.0,Blue dCi 115 Stepway 7-Sitzer
dacia,Dacia Dokker,grau,09/2020,2020,15999,70,95,Schaltgetriebe,Diesel,"4,3 l/100 km",141 g/km,44000.0,Blue dCi 95 Stepway Plus
dacia,Dacia Sandero,grau,11/2020,2020,14470,74,101,Schaltgetriebe,Benzin,"5,1 l/100 km",115 g/km,12261.0,II Comfort TCe 100 Klimaaut. 1Hd.
dacia,Dacia Duster,grau,04/2020,2020,17990,110,150,Schaltgetriebe,Benzin,,- (g/km),34290.0,TCE150 Adventure AHK 360°Kamera SHZ LEDER NAVI
dacia,Dacia Sandero,grau,12/2020,2020,14250,66,90,Schaltgetriebe,Benzin,,141 g/km,16850.0,Stepway
dacia,Dacia Sandero,grau,04/2020,2020,14640,66,90,Schaltgetriebe,Benzin,"5,5 l/100 km",148 g/km,13709.0,0.9 TCe Stepway Prestige *NAVI*TEMPO*
dacia,Dacia Sandero,grau,10/2020,2020,16850,66,90,Automatik,Benzin,"5,5 l/100 km",125 g/km,7000.0,SANDERO II STEPWAY CELEBRATION 15 J.-NAVI-KAMERA
dacia,Dacia Sandero,grau,08/2020,2020,9990,74,101,Schaltgetriebe,Autogas (LPG),"5,3 l/100 km",121 g/km,130000.0,Stepway Prestige II
dacia,Dacia Sandero,grau,10/2020,2020,12490,74,101,Schaltgetriebe,Autogas (LPG),"5,3 l/100 km",121 g/km,47098.0,Stepway Prestige 1.0 TCE / LPG eco-g Kam
dacia,Dacia Duster,grau,08/2020,2020,16882,74,101,Schaltgetriebe,Benzin,"5,6 l/100 km",127 g/km,24800.0,II Comfort*Navi*Cam*PDC*ALU*Tempomat*
dacia,Dacia Duster,grau,07/2020,2020,16900,96,131,Schaltgetriebe,Benzin,"5,9 l/100 km",134 g/km,47300.0,Prestige
dacia,Dacia Duster,grau,03/2020,2020,16990,96,131,Schaltgetriebe,Benzin,,0 g/km,41700.0,Prestige TCe 130 2WD  Komfort Paket
dacia,Dacia Dokker,grau,10/2020,2020,19690,96,131,Schaltgetriebe,Benzin,"6,2 l/100 km",142 g/km,24773.0,Stepw. Plus.-131PS-Navig/Kamera/PDC/Sitz.-Abn.-AHK
dacia,Dacia Duster,grau,03/2020,2020,18990,85,116,Schaltgetriebe,Diesel,"4,7 l/100 km",123 g/km,61200.0,II 1.5 BLUE dCi Prestige 4WD*AHK*Navi*
dacia,Dacia Sandero,grau,04/2020,2020,13999,66,90,Schaltgetriebe,Benzin,,125 g/km,20989.0,Anniversary TCe 90 Klimaautomatik
dacia,Dacia Duster,grau,10/2020,2020,14850,85,116,Schaltgetriebe,Diesel,"4,5 l/100 km",119 g/km,98900.0,Blue dCi 115 4WD Comfort
dacia,Dacia Duster,grau,02/2020,2020,18390,96,131,Schaltgetriebe,Benzin,"6,2 l/100 km",- (g/km),31150.0,TCe 130 / NAVI / KAMERA / 1. HAND /
dacia,Dacia Duster,grau,09/2020,2020,17999,96,131,Schaltgetriebe,Benzin,"5,9 l/100 km",134 g/km,50000.0,II Anniversary 1HAND*NAVI*SHZ °360CAM
dacia,Dacia Sandero,grau,03/2020,2020,15480,66,90,Schaltgetriebe,Benzin,"5,3 l/100 km",120 g/km,25500.0,"II Stepway Anniversary 0,9TSI NAVI LED Klima Navi"
dacia,Dacia Dokker,grau,05/2020,2020,18490,75,102,Schaltgetriebe,Benzin,"6,2 l/100 km",142 g/km,15500.0,Comfort
dacia,Dacia Duster,rot,01/2020,2020,17990,96,131,Schaltgetriebe,Benzin,"5,9 l/100 km",134 g/km,27400.0,II Anniversary TCe 130 NAVI*KLIMA*CAM*SHZ Klima
dacia,Dacia Duster,rot,06/2020,2020,15500,85,116,Schaltgetriebe,Diesel,"4,2 l/100 km",110 g/km,62000.0,II Prestige 1Hd   DCI Bluetec Navy Kamera
dacia,Dacia Lodgy,rot,09/2020,2020,12490,75,102,Schaltgetriebe,Benzin,6 l/100 km,138 g/km,82300.0,Comfort*KLIMA*MULTIFUNKTIONSLENKRAD*82T.KM
dacia,Dacia Sandero,rot,08/2020,2020,14990,74,101,Schaltgetriebe,Benzin,"5,1 l/100 km",115 g/km,27174.0,II Stepway Celebration 1Hand *SHZ*NAV*RK
dacia,Dacia Dokker,rot,04/2020,2020,16488,75,102,Schaltgetriebe,Benzin,"6,2 l/100 km",134 g/km,34810.0,TCe 100 Comfort Nav PDC SHZ Temp Klima
dacia,Dacia Duster,rot,04/2020,2020,18990,85,116,Schaltgetriebe,Diesel,"4,3 l/100 km",0 g/km,33855.0,II 1.5 dCi 115 Prestige Navi Cam DAB Tempom
dacia,Dacia Sandero,rot,02/2020,2020,14390,66,90,Schaltgetriebe,Benzin,"5,5 l/100 km",125 g/km,18550.0,"Comfort TCe 90""Navi&Klima"""
